total_budget,channel,allocated_budget,allocated_pct,expected_response
10000,Google_Ads,1692.34,16.9234,0.0294421531132091
10000,Social_Media,3383.43,33.8343,0.06784434344653988
10000,Email,4924.23,49.24229999999999,0.2399031976064898
50000,Google_Ads,28811.82,57.623639999999995,0.3162768602548506
50000,Social_Media,13552.64,27.105279999999997,0.17540076532440946
50000,Email,7635.54,15.271080000000001,0.26858604665275226
100000,Google_Ads,62709.93,62.70993,0.4332155381958662
100000,Social_Media,26263.99,26.263990000000003,0.21925348282449464
100000,Email,11026.08,11.02608,0.28028526786096386
500000,Google_Ads,333648.69,66.72973800000001,0.4788029599232086
500000,Social_Media,128242.18,25.648435999999997,0.2363500947028673
500000,Email,38109.13,7.6218259999999995,0.28484436804655316
